Notas para el proceso monitor de gmonitor (gmpmon) Gnu Process Monitor

Datos de colas /proc/sysvipc/msg

       key      msqid perms      cbytes       qnum lspid lrpid   uid   gid  cuid  cgid      stime      rtime      ctime
    132294          0   600           0          0  6961   928  1001  1001  1001  1001 1756426815 1756426815 1753452262
    142511          1   600           0          0 15707   961  1001  1001  1001  1001 1753457123 1753457123 1753452266
    142475          2   600           0          0 15707   988  1001  1001  1001  1001 1753457123 1753457123 1753452267
    161892          3   600           0          0  6972  1015  1001  1001  1001  1001 1753465730 1753465730 1753452268
    161917          4   600           0          0 15707  1042  1001  1001  1001  1001 1753457123 1753457123 1753452269
    153344          5   600           0          0 15707  1069  1001  1001  1001  1001 1753457123 1753457123 1753452270
    154292          6   600           0          0  6036  1096  1001  1001  1001  1001 1756426815 1756426815 1753452271
    161957   20447251   600           0          0 27043  6809  1001  1001  1001  1001 1754873234 1754873234 1753465725
    161962   20447253   600           0          0 19660  6887  1001  1001  1001  1001 1756410961 1756410964 1753465728
    161958  786726937   600           0          0  6013  7397  1001  1001  1001  1001 1756426809 1756426809 1754857460
    161959   65929249   600           0          0 19658 12481  1001  1001  1001  1001 1756410961 1756410962 1753487361
    161963   20447266   600           0          0  6034  6961  1001  1001  1001  1001 1756426815 1756426815 1753465730
    131739   20480051   600           0          0     0     0  1001  1001  1001  1001          0          0 1753465738
    161964   20480060   600           0          0     0     0  1001  1001  1001  1001          0          0 1753465740


